method_name,combination,wtau
overall_1_scorers,ncti_score,0.6634424450438543
per_scorer_1_scorers,ncti_score,0.6634424450438543
per_scorer_dataset_1_scorers,ncti_score,0.6634424450438543
svm_1_scorers,ncti_score,0.5348786606068824
lsq_1_scorers,ncti_score,0.6634424450438543
overall_1_scorers,etran_energy_score,0.6677368454905372
per_scorer_1_scorers,etran_energy_score,0.6677368454905372
per_scorer_dataset_1_scorers,etran_energy_score,0.6677368454905372
svm_1_scorers,etran_energy_score,0.5892908217796444
lsq_1_scorers,etran_energy_score,0.6677368454905372
overall_1_scorers,pactran_score,0.36792255299232657
per_scorer_1_scorers,pactran_score,0.36792255299232657
per_scorer_dataset_1_scorers,pactran_score,0.36792255299232657
svm_1_scorers,pactran_score,0.3640619718386957
lsq_1_scorers,pactran_score,0.36792255299232657
overall_1_scorers,gbc_score,0.45746723432673847
per_scorer_1_scorers,gbc_score,0.45746723432673847
per_scorer_dataset_1_scorers,gbc_score,0.45746723432673847
svm_1_scorers,gbc_score,0.38716798112543976
lsq_1_scorers,gbc_score,0.45746723432673847
overall_1_scorers,parc_score,0.44992124195484096
per_scorer_1_scorers,parc_score,0.44992124195484096
per_scorer_dataset_1_scorers,parc_score,0.44992124195484096
svm_1_scorers,parc_score,0.4046767635712223
lsq_1_scorers,parc_score,0.44992124195484096
overall_1_scorers,nleep_score,0.43119448105222435
per_scorer_1_scorers,nleep_score,0.43119448105222435
per_scorer_dataset_1_scorers,nleep_score,0.43119448105222435
svm_1_scorers,nleep_score,0.34058509495442196
lsq_1_scorers,nleep_score,0.43119448105222435
overall_1_scorers,leep_score,0.39063442992449915
per_scorer_1_scorers,leep_score,0.39063442992449915
per_scorer_dataset_1_scorers,leep_score,0.39063442992449915
svm_1_scorers,leep_score,0.44337289710545363
lsq_1_scorers,leep_score,0.39063442992449915
overall_1_scorers,logme_score,0.35261023731420826
per_scorer_1_scorers,logme_score,0.35261023731420826
per_scorer_dataset_1_scorers,logme_score,0.35261023731420826
svm_1_scorers,logme_score,0.3429225187794489
lsq_1_scorers,logme_score,0.35261023731420826
overall_1_scorers,tmi_score,0.30364750334944085
per_scorer_1_scorers,tmi_score,0.30364750334944085
per_scorer_dataset_1_scorers,tmi_score,0.30364750334944085
svm_1_scorers,tmi_score,0.2796806980521929
lsq_1_scorers,tmi_score,0.30364750334944085
overall_1_scorers,nce_score,0.2584399748740622
per_scorer_1_scorers,nce_score,0.2584399748740622
per_scorer_dataset_1_scorers,nce_score,0.2584399748740622
svm_1_scorers,nce_score,0.22418193587411872
lsq_1_scorers,nce_score,0.2584399748740622
overall_1_scorers,sfda_score,0.2070858397139578
per_scorer_1_scorers,sfda_score,0.2070858397139578
per_scorer_dataset_1_scorers,sfda_score,0.2070858397139578
svm_1_scorers,sfda_score,0.15750933414457993
lsq_1_scorers,sfda_score,0.2070858397139578
overall_1_scorers,hscore_score,0.09140175635230517
per_scorer_1_scorers,hscore_score,0.09140175635230517
per_scorer_dataset_1_scorers,hscore_score,0.09140175635230517
svm_1_scorers,hscore_score,0.0580606224827875
lsq_1_scorers,hscore_score,0.09140175635230517
overall_1_scorers,reg_hscore_score,-0.005349525604234007
per_scorer_1_scorers,reg_hscore_score,-0.005349525604234007
per_scorer_dataset_1_scorers,reg_hscore_score,-0.005349525604234007
svm_1_scorers,reg_hscore_score,0.09859467182323202
lsq_1_scorers,reg_hscore_score,-0.005349525604234007
overall_2_scorers,"ncti_score,etran_energy_score",0.6677368454905372
per_scorer_2_scorers,"ncti_score,etran_energy_score",0.7437797566506407
per_scorer_dataset_2_scorers,"ncti_score,etran_energy_score",0.7437797566506407
svm_2_scorers,"ncti_score,etran_energy_score",0.5996217424208208
lsq_2_scorers,"ncti_score,etran_energy_score",0.7272111440923248
overall_2_scorers,"ncti_score,pactran_score",0.36792255299232657
per_scorer_2_scorers,"ncti_score,pactran_score",0.6660426237719282
per_scorer_dataset_2_scorers,"ncti_score,pactran_score",0.6660426237719282
svm_2_scorers,"ncti_score,pactran_score",0.6392334125703587
lsq_2_scorers,"ncti_score,pactran_score",0.662763661544314
overall_2_scorers,"ncti_score,gbc_score",0.45746723432673847
per_scorer_2_scorers,"ncti_score,gbc_score",0.6005454901268477
per_scorer_dataset_2_scorers,"ncti_score,gbc_score",0.6005454901268477
svm_2_scorers,"ncti_score,gbc_score",0.5445718532021199
lsq_2_scorers,"ncti_score,gbc_score",0.6670868008085189
overall_2_scorers,"ncti_score,parc_score",0.44992124195484096
per_scorer_2_scorers,"ncti_score,parc_score",0.6000500876533928
per_scorer_dataset_2_scorers,"ncti_score,parc_score",0.6000500876533928
svm_2_scorers,"ncti_score,parc_score",0.4948016953165305
lsq_2_scorers,"ncti_score,parc_score",0.640347383878071
overall_2_scorers,"ncti_score,nleep_score",0.43119448105222435
per_scorer_2_scorers,"ncti_score,nleep_score",0.6263967407443899
per_scorer_dataset_2_scorers,"ncti_score,nleep_score",0.6263967407443899
svm_2_scorers,"ncti_score,nleep_score",0.5309031241831675
lsq_2_scorers,"ncti_score,nleep_score",0.6551040824174547
