prefix,scorers_label,input_count
bh3DBc,BEST,30
bh3DBf,BEST,30
bh3DBc,I+BEST,40
bh3,I+ncti_score,200
bh3,I+reg_hscore_score,200
bh3,BEST,300
bh3o,BEST,330
bh3,I+BEST,400
bh3,WORST,300
bh3,I+logme_score,200
bh3DBs,I+BEST,40
bh3,WORST,300
bh3DBs,BEST,30
bh3,I+ncti_score,200
bh3,I+etran_energy_score,200
bh3,I+nce_score,200
bh3DBc,I+BEST,40
bh3,I+sfda_score,200
bh3,I+nce_score,200
bh3,WORST,300
bh3,I+tmi_score,200
bh3,I+sfda_score,200
bh3,BEST,300
bh3DBs,I+BEST,40
bh3,I+pactran_score,200
bh3,I+gbc_score,200
bh3,I+sfda_score,200
bh3o,I+BEST,440
bh3,I+reg_hscore_score,200
bh3,I+WORST,400
bh3o,BEST,330
bh3DBs,BEST,30
bh3DBc,BEST,30
bh3DBc,I+BEST,40
bh3,I+ncti_score,200
bh3,I+BEST,400
bh3,I+logme_score,200
bh3,I+pactran_score,200
bh3,I+sfda_score,200
bh3,I+WORST,400
bh3o,I+BEST,440
bh3o,BEST,330
bh3,I+leep_score,200
bh3DBs,BEST,30
bh3DBf,I+BEST,40
bh3DBs,I+BEST,40
bh3,I+nleep_score,200
bh3o,BEST,330
bh3,BEST,300
bh3,I+nce_score,200
bh3,I+gbc_score,200
bh3,I+tmi_score,200
bh3DBf,I+BEST,40
bh3,I+sfda_score,200
bh3o,BEST,330
bh3DBf,I+BEST,40
bh3,I+sfda_score,200
bh3,I+logme_score,200
bh3o,BEST,330
bh3,I+nleep_score,200
bh3DBc,BEST,30
bh3,I+reg_hscore_score,200
bh3,I+WORST,400
bh3,I+ncti_score,200
bh3,I+ncti_score,200
bh3o,BEST,330
bh3,I+pactran_score,200
bh3,I+etran_energy_score,200
bh3,I+gbc_score,200
bh3,I+parc_score,200
bh3,I+leep_score,200
bh3DBc,I+BEST,40
bh3,I+tmi_score,200
bh3,I+ncti_score,200
bh3,I+parc_score,200
bh3,BEST,300
bh3,WORST,300
bh3,I+hscore_score,200
bh3DBf,BEST,30
bh3,I+WORST,400
bh3,I+tmi_score,200
bh3,I+leep_score,200
bh3,I+gbc_score,200
bh3,I+reg_hscore_score,200
bh3,I+nce_score,200
